year,date,cpi_new_vehicles,cpi_all_items
1947,1947-03-01,33.3,22
1947,1947-04-01,NA,22
1947,1947-05-01,NA,21.95
1947,1947-06-01,33.4,22.08
1947,1947-07-01,NA,22.23
1947,1947-08-01,NA,22.4
1947,1947-09-01,35.2,22.84
1947,1947-10-01,NA,22.91
1947,1947-11-01,35.5,23.06
1947,1947-12-01,35.5,23.41
1948,1948-01-01,NA,23.68
1948,1948-02-01,NA,23.67
1948,1948-03-01,35.7,23.5
1948,1948-04-01,NA,23.82
1948,1948-05-01,NA,24.01
1948,1948-06-01,35.7,24.15
1948,1948-07-01,NA,24.4
1948,1948-08-01,NA,24.43
1948,1948-09-01,39.6,24.36
1948,1948-10-01,NA,24.31
1948,1948-11-01,NA,24.16
1948,1948-12-01,39.6,24.05
1949,1949-01-01,NA,24.01
1949,1949-02-01,NA,23.91
1949,1949-03-01,40.8,23.91
1949,1949-04-01,NA,23.92
1949,1949-05-01,NA,23.91
1949,1949-06-01,40.9,23.92
1949,1949-07-01,NA,23.7
1949,1949-08-01,NA,23.7
1949,1949-09-01,41.2,23.75
1949,1949-10-01,NA,23.67
1949,1949-11-01,NA,23.7
1949,1949-12-01,41.2,23.61
1950,1950-01-01,NA,23.51
1950,1950-02-01,NA,23.61
1950,1950-03-01,41.2,23.64
1950,1950-04-01,NA,23.65
1950,1950-05-01,NA,23.77
1950,1950-06-01,41.2,23.88
1950,1950-07-01,NA,24.07
1950,1950-08-01,NA,24.2
1950,1950-09-01,41.2,24.34
1950,1950-10-01,NA,24.5
1950,1950-11-01,NA,24.6
1950,1950-12-01,41.3,24.98
1951,1951-01-01,NA,25.38
1951,1951-02-01,NA,25.83
1951,1951-03-01,42.3,25.88
1951,1951-04-01,NA,25.92
1951,1951-05-01,NA,25.99
1951,1951-06-01,42.4,25.93
1951,1951-07-01,NA,25.91
1951,1951-08-01,NA,25.86
1951,1951-09-01,43.7,26.03
1951,1951-10-01,NA,26.16
1951,1951-11-01,NA,26.32
1951,1951-12-01,45.3,26.47
1952,1952-01-01,NA,26.45
1952,1952-02-01,NA,26.41
1952,1952-03-01,46.8,26.39
1952,1952-04-01,NA,26.46
1952,1952-05-01,NA,26.47
1952,1952-06-01,46.8,26.53
1952,1952-07-01,NA,26.68
